candidate,percentage,votes,state_name,district,party,state_abbreviation,year,id,GEOID,total_votes,vote_share
Barry Moore,78.4,258619,Alabama,01,Republican,AL,2024,AL01,0101,329854,78.40408180588987
Tom Holmes,21.5,70929,Alabama,01,Democrat,AL,2024,AL01,0101,329854,21.503149878431064
Other/Write-in votes,0.1,306,Alabama,01,Other,AL,2024,AL01,0101,329854,0.09276831567905801
Shomari Figures,54.6,158041,Alabama,02,Democrat,AL,2024,AL02,0102,289674,54.558227524734704
Caroleene Dobson,45.4,131414,Alabama,02,Republican,AL,2024,AL02,0102,289674,45.366170246553025
Other/Write-in votes,0.1,219,Alabama,02,Other,AL,2024,AL02,0102,289674,0.07560222871227656
Mike Rogers,97.9,243848,Alabama,03,Republican,AL,2024,AL03,0103,249008,97.92777742080577
Other/Write-in votes,2.1,5160,Alabama,03,Other,AL,2024,AL03,0103,249008,2.072222579194243
Robert Aderholt,98.8,274498,Alabama,04,Republican,AL,2024,AL04,0104,277872,98.785771866183
Other/Write-in votes,1.2,3374,Alabama,04,Other,AL,2024,AL04,0104,277872,1.2142281338170091
Dale Strong,95.4,250322,Alabama,05,Republican,AL,2024,AL05,0105,262410,95.39346823672878
Other/Write-in votes,4.6,12088,Alabama,05,Other,AL,2024,AL05,0105,262410,4.606531763271217
Gary Palmer,70.3,243741,Alabama,06,Republican,AL,2024,AL06,0106,346625,70.31835557158313
Elizabeth Anderson,29.6,102504,Alabama,06,Democrat,AL,2024,AL06,0106,346625,29.57201586729174
Other/Write-in votes,0.1,380,Alabama,06,Other,AL,2024,AL06,0106,346625,0.10962856112513522
Terri Sewell,63.7,186723,Alabama,07,Democrat,AL,2024,AL07,0107,293220,63.68017188459177
Robin Litaker,36.3,106312,Alabama,07,Republican,AL,2024,AL07,0107,293220,36.256735556919715
Other/Write-in votes,0.1,185,Alabama,07,Other,AL,2024,AL07,0107,293220,0.06309255848850692
David Schweikert,51.9,225538,Arizona,01,Republican,AZ,2024,AZ01,0401,434504,51.90700200688602
Amish Shah,48.1,208966,Arizona,01,Democrat,AZ,2024,AZ01,0401,434504,48.09299799311399
Eli Crane,54.5,221413,Arizona,02,Republican,AZ,2024,AZ02,0402,406431,54.477389766036545
Jonathan Nez,45.5,184963,Arizona,02,Democrat,AZ,2024,AZ02,0402,406431,45.50907780164407
Richard Ester,0.0,28,Arizona,02,Other,AZ,2024,AZ02,0402,406431,0.006889238271686952
David Alexander,0.0,22,Arizona,02,Democrat,AZ,2024,AZ02,0402,406431,0.0054129729277540345
Charles Holt Jr.,0.0,5,Arizona,02,Other,AZ,2024,AZ02,0402,406431,0.0012302211199440988
Yassamin Ansari,70.9,143336,Arizona,03,Democrat,AZ,2024,AZ03,0403,202065,70.9355900329102
Jeffrey Zink,26.6,53705,Arizona,03,Republican,AZ,2024,AZ03,0403,202065,26.578081310469404
Alan Aversa,2.5,5008,Arizona,03,Other,AZ,2024,AZ03,0403,202065,2.47841041249103
Candace Cunningham,0.0,16,Arizona,03,Other,AZ,2024,AZ03,0403,202065,0.007918244129364314
Greg Stanton,52.7,176428,Arizona,04,Democrat,AZ,2024,AZ04,0404,334545,52.736702087910444
Kelly Cooper,45.5,152052,Arizona,04,Republican,AZ,2024,AZ04,0404,334545,45.45038784020087
Vincent Beck-Jones,1.8,6065,Arizona,04,Other,AZ,2024,AZ04,0404,334545,1.8129100718886848
Andy Biggs,60.4,255628,Arizona,05,Republican,AZ,2024,AZ05,0405,423308,60.38818071002674
Katrina Schaffner,39.6,167680,Arizona,05,Democrat,AZ,2024,AZ05,0405,423308,39.61181928997326
Juan Ciscomani,50.0,215596,Arizona,06,Republican,AZ,2024,AZ06,0406,431220,49.996753397337784
Kirsten Engel,47.5,204774,Arizona,06,Democrat,AZ,2024,AZ06,0406,431220,47.48712953944622
Athena Eastwood,2.5,10759,Arizona,06,Other,AZ,2024,AZ06,0406,431220,2.4950141459115995
Luis Pozzolo,0.0,91,Arizona,06,Other,AZ,2024,AZ06,0406,431220,0.021102917304392187
Raúl Grijalva,63.4,171954,Arizona,07,Democrat,AZ,2024,AZ07,0407,271011,63.449085092487024
Daniel Butierez,36.6,99057,Arizona,07,Republican,AZ,2024,AZ07,0407,271011,36.550914907512976
Abraham Hamadeh,56.5,208269,Arizona,08,Republican,AZ,2024,AZ08,0408,368613,56.50072026759773
Gregory Whitten,43.5,160344,Arizona,08,Democrat,AZ,2024,AZ08,0408,368613,43.49927973240227
Paul Gosar,65.3,249583,Arizona,09,Republican,AZ,2024,AZ09,0409,382223,65.29774503365836
Quacy Smith,34.7,132640,Arizona,09,Democrat,AZ,2024,AZ09,0409,382223,34.70225496634164
Rick Crawford,72.3,136924,Arkansas,01,Republican,AR,2024,AR01,0501,189397,72.29470371758792
Rodney Govens,24.6,46562,Arkansas,01,Democrat,AR,2024,AR01,0501,189397,24.584338717086332
Steven Gene Parsons,3.1,5911,Arkansas,01,Other,AR,2024,AR01,0501,189397,3.1209575653257446
French Hill,59.3,178196,Arkansas,02,Republican,AR,2024,AR02,0502,300468,59.30614907411106
Marcus Jones,40.7,122272,Arkansas,02,Democrat,AR,2024,AR02,0502,300468,40.693850925888945
Steve Womack,63.9,148946,Arkansas,03,Republican,AR,2024,AR03,0503,233236,63.86063900941535
Caitlin Draper Mattelin,32.1,74868,Arkansas,03,Democrat,AR,2024,AR03,0503,233236,32.09967586478931
Bobby Wilson,4.0,9422,Arkansas,03,Other,AR,2024,AR03,0503,233236,4.039685125795332
Bruce Westerman,72.1,143017,Arkansas,04,Republican,AR,2024,AR04,0504,198416,72.0793685993065
Risie Howard,27.9,55399,Arkansas,04,Democrat,AR,2024,AR04,0504,198416,27.92063140069349
Doug LaMalfa,62.5,98955,California,01,Republican,CA,2024,CA01,0601,158438,62.456607632007476
Rose Penelope Yee,37.5,59483,California,01,Democrat,CA,2024,CA01,0601,158438,37.54339236799253
Jared Huffman,73.0,139540,California,02,Democrat,CA,2024,CA02,0602,191182,72.98804280737727
Chris Coulombe,27.0,51642,California,02,Republican,CA,2024,CA02,0602,191182,27.011957192622738
Kevin Kiley,57.5,148102,California,03,Republican,CA,2024,CA03,0603,257404,57.536790415067365
Jessica Morse,42.5,109302,California,03,Democrat,CA,2024,CA03,0603,257404,42.463209584932635
Mike Thompson,69.3,106032,California,04,Democrat,CA,2024,CA04,0604,152951,69.32416264032271
John Munn,30.7,46919,California,04,Republican,CA,2024,CA04,0604,152951,30.67583735967728
Tom McClintock,60.8,130844,California,05,Republican,CA,2024,CA05,0605,215354,60.757636264011815
Mike Barkley,39.2,84510,California,05,Democrat,CA,2024,CA05,0605,215354,39.24236373598819
Ami Bera,57.3,103067,California,06,Democrat,CA,2024,CA06,0606,179975,57.26739824975691
Christine Bish,42.7,76908,California,06,Republican,CA,2024,CA06,0606,179975,42.732601750243084
Doris Matsui,65.5,82568,California,07,Democrat,CA,2024,CA07,0607,126150,65.45223939754261
Tom Silva,34.5,43582,California,07,Republican,CA,2024,CA07,0607,126150,34.547760602457394
John Garamendi,75.4,102025,California,08,Democrat,CA,2024,CA08,0608,135232,75.44442143871272
Rudy Recile,24.6,33207,California,08,Republican,CA,2024,CA08,0608,135232,24.55557856128727
Josh Harder,51.9,123553,California,09,Democrat,CA,2024,CA09,0609,238133,51.88403119265285
Kevin Lincoln II,48.1,114580,California,09,Republican,CA,2024,CA09,0609,238133,48.11596880734715
Mark DeSaulnier,68.6,139928,California,10,Democrat,CA,2024,CA10,0610,204112,68.55451908755977
Katherine Piccinini,31.4,64184,California,10,Republican,CA,2024,CA10,0610,204112,31.445480912440228
Nancy Pelosi,81.5,134691,California,11,Democrat,CA,2024,CA11,0611,165304,81.4807869138073
Bruce Lou,18.5,30613,California,11,Republican,CA,2024,CA11,0611,165304,18.519213086192714
Lateefah Simon,63.6,82906,California,12,Democrat,CA,2024,CA12,0612,130426,63.565546746814285
Jennifer Tran,36.4,47520,California,12,Democrat,CA,2024,CA12,0612,130426,36.434453253185715
Adam Gray,50.0,105554,California,13,Democrat,CA,2024,CA13,0613,210921,50.04432939346959
John Duarte,50.0,105367,California,13,Republican,CA,2024,CA13,0613,210921,49.955670606530404
Eric Swalwell,63.8,59086,California,14,Democrat,CA,2024,CA14,0614,92642,63.77884760691694
Vin Kruttiventi,36.2,33556,California,14,Republican,CA,2024,CA14,0614,92642,36.22115239308305
Kevin Mullin,73.9,112690,California,15,Democrat,CA,2024,CA15,0615,152428,73.92998661663212
Anna Cheng Kramer,26.1,39738,California,15,Republican,CA,2024,CA15,0615,152428,26.070013383367886
Sam Liccardo,59.9,117905,California,16,Democrat,CA,2024,CA16,0616,196984,59.855115136254724
Evan Low,40.1,79079,California,16,Democrat,CA,2024,CA16,0616,196984,40.144884863745276
Ro Khanna,69.0,78514,California,17,Democrat,CA,2024,CA17,0617,113741,69.02875831933956
Anita Chen,31.0,35227,California,17,Republican,CA,2024,CA17,0617,113741,30.971241680660448
Zoe Lofgren,65.8,67229,California,18,Democrat,CA,2024,CA18,0618,102237,65.75799368134824
Peter Hernandez,34.2,35008,California,18,Republican,CA,2024,CA18,0618,102237,34.24200631865176
Jimmy Panetta,72.0,145237,California,19,Democrat,CA,2024,CA19,0619,201796,71.9721897361692
Jason Anderson,28.0,56559,California,19,Republican,CA,2024,CA19,0619,201796,28.027810263830798
Vince Fong,67.8,93057,California,20,Republican,CA,2024,CA20,0620,137239,67.80652729909137
Mike Boudreaux,32.2,44182,California,20,Republican,CA,2024,CA20,0620,137239,32.19347270090863
Jim Costa,52.3,94722,California,21,Democrat,CA,2024,CA21,0621,181111,52.30052288375637
Michael Maher,47.7,86389,California,21,Republican,CA,2024,CA21,0621,181111,47.69947711624363
David G. Valadao,53.5,75997,California,22,Republican,CA,2024,CA22,0622,142114,53.476082581589424
Rudy Salas,46.5,66117,California,22,Democrat,CA,2024,CA22,0622,142114,46.52391741841057
Jay Obernolte,57.6,70900,California,23,Republican,CA,2024,CA23,0623,123006,57.63946474155732
Derek Marshall,42.4,52106,California,23,Democrat,CA,2024,CA23,0623,123006,42.36053525844268
Salud Carbajal,63.3,128617,California,24,Democrat,CA,2024,CA24,0624,203091,63.32973888552422
Thomas Cole,36.7,74474,California,24,Republican,CA,2024,CA24,0624,203091,36.67026111447578
Raul Ruiz,56.3,81541,California,25,Democrat,CA,2024,CA25,0625,144763,56.32723831365749
Ian Weeks,43.7,63222,California,25,Republican,CA,2024,CA25,0625,144763,43.672761686342504
Julia Brownley,54.5,131292,California,26,Democrat,CA,2024,CA26,0626,240806,54.5218972949179
Michael Koslow,45.5,109514,California,26,Republican,CA,2024,CA26,0626,240806,45.4781027050821
George Whitesides,51.3,150307,California,27,Democrat,CA,2024,CA27,0627,293008,51.2979167804292
Mike Garcia,48.7,142701,California,27,Republican,CA,2024,CA27,0627,293008,48.702083219570795
Judy Chu,65.5,119142,California,28,Democrat,CA,2024,CA28,0628,181952,65.47990678860359
April Verlato,34.5,62810,California,28,Republican,CA,2024,CA28,0628,181952,34.520093211396414
Luz Maria Rivas,69.6,72274,California,29,Democrat,CA,2024,CA29,0629,103855,69.59125704106687
Benito Bernal,30.4,31581,California,29,Republican,CA,2024,CA29,0629,103855,30.40874295893313
Laura Friedman,68.6,124593,California,30,Democrat,CA,2024,CA30,0630,181750,68.55185694635489
Alex Balekian,31.4,57157,California,30,Republican,CA,2024,CA30,0630,181750,31.44814305364512
Gil Cisneros,57.0,101550,California,31,Democrat,CA,2024,CA31,0631,178085,57.02333155515624
Daniel Martinez,43.0,76535,California,31,Republican,CA,2024,CA31,0631,178085,42.97666844484375
Brad Sherman,66.4,130657,California,32,Democrat,CA,2024,CA32,0632,196853,66.37287722310556
Larry Thompson,33.6,66196,California,32,Republican,CA,2024,CA32,0632,196853,33.62712277689444
Pete Aguilar,58.7,61077,California,33,Democrat,CA,2024,CA33,0633,103984,58.7369210647792
Tom Herman,41.3,42907,California,33,Republican,CA,2024,CA33,0633,103984,41.263078935220804
Jimmy Gomez,56.5,71957,California,34,Democrat,CA,2024,CA34,0634,127419,56.47273954433797
David Kim,43.5,55462,California,34,Democrat,CA,2024,CA34,0634,127419,43.527260455662024
Norma Torres,56.8,72076,California,35,Democrat,CA,2024,CA35,0635,126836,56.82613768961493
Mike Cargile,43.2,54760,California,35,Republican,CA,2024,CA35,0635,126836,43.17386231038506
Ted Lieu,68.1,148976,California,36,Democrat,CA,2024,CA36,0636,218645,68.13601957511034
Melissa Toomim,31.9,69669,California,36,Republican,CA,2024,CA36,0636,218645,31.86398042488966
Sydney Kamlager-Dove,80.3,80516,California,37,Democrat,CA,2024,CA37,0637,100274,80.29598899016695
Juan Rey,19.7,19758,California,37,Other,CA,2024,CA37,0637,100274,19.70401100983306
Linda Sánchez,57.3,117813,California,38,Democrat,CA,2024,CA38,0638,205746,57.261380537167184
Eric Ching,42.7,87933,California,38,Republican,CA,2024,CA38,0638,205746,42.73861946283281
Mark Takano,56.4,102830,California,39,Democrat,CA,2024,CA39,0639,182258,56.42001997168848
David Serpa,43.6,79428,California,39,Republican,CA,2024,CA39,0639,182258,43.57998002831152
Young Kim,56.4,168515,California,40,Republican,CA,2024,CA40,0640,298774,56.40216350820353
Joe Kerr,43.6,130259,California,40,Democrat,CA,2024,CA40,0640,298774,43.59783649179648
Ken Calvert,51.3,161202,California,41,Republican,CA,2024,CA41,0641,314281,51.29231483926804
Will Rollins,48.7,153079,California,41,Democrat,CA,2024,CA41,0641,314281,48.707685160731955
Robert Garcia,65.9,76245,California,42,Democrat,CA,2024,CA42,0642,115768,65.86016861308825
John Briscoe,34.1,39523,California,42,Republican,CA,2024,CA42,0642,115768,34.13983138691176
Maxine Waters,74.6,75305,California,43,Democrat,CA,2024,CA43,0643,100969,74.58229753686774
Steve Williams,25.4,25664,California,43,Republican,CA,2024,CA43,0643,100969,25.417702463132247
Nanette Barragán,69.5,79951,California,44,Democrat,CA,2024,CA44,0644,114982,69.53349219877893
Roger Groh,30.5,35031,California,44,Republican,CA,2024,CA44,0644,114982,30.46650780122106
Derek Tran,50.1,158104,California,45,Democrat,CA,2024,CA45,0645,315612,50.09441973055524
Michelle Steel,49.9,157508,California,45,Republican,CA,2024,CA45,0645,315612,49.90558026944476
Lou Correa,62.2,71573,California,46,Democrat,CA,2024,CA46,0646,115152,62.1552382937335
David Pan,37.8,43579,California,46,Republican,CA,2024,CA46,0646,115152,37.8447617062665
Dave Min,51.3,173069,California,47,Democrat,CA,2024,CA47,0647,337380,51.29794297231608
Scott Baugh,48.7,164311,California,47,Republican,CA,2024,CA47,0647,337380,48.702057027683914
Darrell Issa,59.8,132404,California,48,Republican,CA,2024,CA48,0648,221396,59.804151836528206
Stephen Houlahan,40.2,88992,California,48,Democrat,CA,2024,CA48,0648,221396,40.19584816347179
Mike Levin,52.0,181691,California,49,Democrat,CA,2024,CA49,0649,349183,52.03317458180954
Matt Gunderson,48.0,167492,California,49,Republican,CA,2024,CA49,0649,349183,47.96682541819046
Scott Peters,63.7,136738,California,50,Democrat,CA,2024,CA50,0650,214764,63.66895755340746
Peter Bono,36.3,78026,California,50,Republican,CA,2024,CA50,0650,214764,36.33104244659254
